Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1984,30.74762,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1983,29.37792,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1982,28.12939,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1981,26.65381,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1980,25.94134,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1979,24.79357,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1978,23.49892,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1977,21.97249,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1976,20.39103,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1975,19.13518,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1974,18.04978,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1973,17.58438,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1972,16.63759,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1971,16.47109,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1970,16.37003,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2018,76.90783,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2017,76.79861,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2016,76.8629,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2015,75.81048,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2014,76.58962,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2013,76.36018,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2012,76.853,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2011,77.78273,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2010,77.27449,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2009,77.68492,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2008,77.98414,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2007,78.0548,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2006,77.75287,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2005,77.72204,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2004,77.97097,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2003,75.95836,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2002,76.34238,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2001,75.89374,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,2000,75.12039,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1999,75.15947,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1998,73.83379,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1997,72.89267,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1996,71.33341,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1995,69.72886,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1994,68.11044,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1993,66.3291,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1992,67.45069,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1991,67.45855,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1990,66.22127,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1989,65.50445,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1988,66.2103,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1987,64.65902,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1986,63.72609,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1985,62.93157,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1984,61.58252,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1983,61.98826,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1982,61.69412,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1981,61.87091,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1980,64.11737,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1979,61.54287,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1978,60.31859,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1977,58.84994,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1976,58.42331,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1975,56.5577,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Caribbean small states,CSS,1974,51.10654,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2018,90.06636,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2017,90.0945,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2016,89.96548,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2015,90.22955,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2014,89.87666,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2013,90.11011,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2012,89.11786,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2011,89.24446,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2010,89.43946,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2009,89.26189,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2008,89.23788,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2007,88.64418,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2006,88.21168,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2005,87.99967,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2004,87.24472,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2003,87.59414,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2002,87.33135,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2001,86.357,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,2000,85.03263,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,1999,84.06819,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,1998,82.86775,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,1997,83.23231,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Central Europe and the Baltics,CEB,1996,82.52305,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2018,64.31126,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2017,64.24908,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2016,63.13206,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2015,62.81074,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2014,62.28577,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2013,61.64642,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2012,60.35019,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2011,58.57387,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2010,56.13494,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2009,54.05185,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2008,53.51995,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2007,52.09465,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2006,50.10845,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2005,48.57895,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2004,47.34615,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2003,46.09408,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2002,44.1865,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2001,42.50186,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,2000,41.25065,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,EAR,EAR,1999,39.87152,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2018,81.24246,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2017,80.73113,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2016,80.9557,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2015,80.78122,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2014,80.91952,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2013,78.29122,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2012,77.4789,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2011,77.55059,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2010,75.90492,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2009,73.878,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2008,71.90295,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2007,71.78609,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2006,69.60457,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2005,68.26656,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2004,66.88209,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2003,64.88938,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2002,63.0966,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2001,62.66023,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,2000,61.73821,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,1999,60.77511,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific,EAS,1998,59.5732,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2018,80.90978,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2017,80.38369,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2016,80.645,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2015,80.49991,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2014,80.6408,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2013,77.8683,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2012,76.99241,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2011,77.17245,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2010,75.45379,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2009,73.31767,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2008,71.30023,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2007,71.2119,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2006,68.95015,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2005,67.58032,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2004,66.18073,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2003,64.14999,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2002,62.31728,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2001,61.86262,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,2000,60.85877,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,1999,59.7904,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (excluding high income),EAP,1998,58.43602,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2018,80.78035,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2017,80.24399,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2016,80.50683,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2015,80.36012,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2014,80.50371,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2013,77.69285,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2012,76.80508,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2011,76.98839,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2010,75.24783,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2009,73.0879,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2008,71.05281,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2007,70.97545,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2006,68.70031,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2005,67.32756,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2004,65.92082,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2003,63.87146,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2002,62.01699,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2001,61.54908,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,2000,60.51936,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,1999,59.42648,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,East Asia & Pacific (IDA & IBRD),TEA,1998,58.04937,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2018,91.01464,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2017,90.98786,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2016,90.90451,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2015,90.541,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2014,90.29469,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2013,90.49134,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2012,91.12635,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2011,91.36812,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2010,91.95209,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2009,91.84057,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2008,91.97556,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2007,91.51074,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2006,92.03121,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2005,91.649,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2004,90.51846,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2003,89.40814,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2002,88.86846,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2001,88.28076,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,2000,87.47144,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1999,87.08596,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1998,87.43316,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1997,89.4256,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1996,89.80216,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1995,89.35535,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1994,89.15218,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1993,86.85979,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1992,84.13616,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1991,82.60871,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1990,81.54465,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1989,81.40195,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1988,81.08754,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1987,80.90738,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1986,80.33742,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1985,79.10291,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1984,78.41859,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1983,78.01707,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1982,77.51494,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1981,77.14461,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1980,77.07952,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1979,76.42906,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1978,75.94666,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1977,75.25144,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Euro area,EMU,1976,74.12853,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2018,89.86586,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2017,90.16755,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2016,90.05004,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2015,90.31518,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2014,89.98592,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2013,89.41179,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2012,88.29068,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2011,88.17146,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2010,87.80594,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2009,86.63879,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Europe & Central Asia,ECS,2008,86.71833,Net
